action,ms,space,lang,code,repeat,comment
run,75,1728,k,{do[1000000;0]}[],1,
run,393,3216,k,{do[1000000;---------- 0]}[],0,
run,472,3384,k,{do[1000000;0+0+0+0+0+ 0]}[],0,
